Name                ,Version    ,License,copyrights,end-ofsupport,dependencies,language,repository,email,URL
blis                ,0.4.1      ,MIT License,,,,,,,
catalogue           ,1.0.0      ,MIT License,,,,,,,
certifi             ,2021.5.30  ,Mozilla Public License 2.0 (MPL 2.0),,,,,,,
chardet             ,3.0.4      ,GNU Library or Lesser General Public License (LGPL),,,,,,,
click               ,7.1.2      ,BSD License,,,,,,,
configparser        ,5.0.1      ,MIT License,,,,,,,
cymem               ,2.0.4      ,MIT License,,,,,,,
dill                ,0.3.3      ,BSD License,,,,,,,
docopt              ,0.6.2      ,MIT License,,,,,,,
et-xmlfile          ,1.0.1      ,MIT License,,,,,,,
gensim              ,3.8.3      ,GNU Lesser General Public License v2 or later (LGPLv2+),,,,,,,
idna                ,2.10       ,BSD License,,,,,,,
importlib-metadata  ,2.0.0      ,Apache Software License,,,,,,,
it-core-news-sm     ,2.3.0      ,CC BY-NC-SA 3.0,,,,,,,
jdcal               ,1.4.1      ,BSD License,,,,,,,
joblib              ,0.17.0     ,BSD License,,,,,,,
murmurhash          ,1.0.4      ,MIT License,,,,,,,
nltk                ,3.5        ,Apache Software License,,,,,,,
num2words           ,0.5.10     ,GNU Library or Lesser General Public License (LGPL),,,,,,,
numpy               ,1.19.4     ,BSD,,,,,,,
openpyxl            ,3.0.5      ,MIT License,,,,,,,
pandas              ,1.1.4      ,BSD,,,,,,,
plac                ,1.1.3      ,BSD License,,,,,,,
preshed             ,3.0.4      ,MIT License,,,,,,,
psycopg2            ,2.7.3.2    ,GNU Library or Lesser General Public License (LGPL); Zope Public License,,,,,,,
python-dateutil     ,2.8.1      ,"Apache Software License, BSD License",,,,,,,
pytz                ,2021.1     ,MIT License,,,,,,,
queries             ,2.1.0      ,BSD License,,,,,,,
regex               ,2021.8.28  ,Apache Software License,,,,,,,
requests            ,2.25.0     ,Apache Software License,,,,,,,
scikit-learn        ,0.23.2     ,new BSD,,,,,,,
scipy               ,1.5.4      ,BSD License,,,,,,,
six                 ,1.15.0     ,MIT License,,,,,,,
sklearn             ,0.0        ,UNKNOWN,,,,,,,
smart-open          ,3.0.0      ,MIT License,,,,,,,
spacy               ,2.3.2      ,MIT License,,,,,,,
srsly               ,1.0.4      ,MIT License,,,,,,,
thinc               ,7.4.1      ,MIT License,,,,,,,
threadpoolctl       ,2.1.0      ,BSD License,,,,,,,
tornado             ,6.1        ,Apache Software License,,,,,,,
tqdm                ,4.52.0     ,MIT License; Mozilla Public License 2.0 (MPL 2.0),,,,,,,
urllib3             ,1.26.2     ,MIT License,,,,,,,
wasabi              ,0.8.0      ,MIT,,,,,,,
xlrd                ,1.2.0      ,BSD License,,,,,,,
zipp                ,3.4.0      ,MIT License,,,,,,,
